Time,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
1520621014.560424,-0.1589741200166755,-0.038342401765154,0.0492163698590614,0.2177720549798458,0.151079412996556,9.86111971560518
1520621014.56544,-0.1725244626233036,-0.025241970515835,0.0517765248177552,0.1877078621559971,0.093523014171853,9.819631287947931
1520621014.570456,-0.1840667511789461,-0.0156453786914432,0.057282273821477,0.2153669195539378,0.0407586813625011,9.712496278788953
1520621014.575472,-0.1920933573326603,-0.0054537129688649,0.058727746431501,0.1672642110357798,-0.0012074870583655,9.67697894533895
1520621014.580488,-0.1991145055061139,0.0044447767553837,0.0609807667508339,0.0854896065549111,-0.0311796287660949,9.713830585237972
1520621014.585502,-0.2058906471193263,0.0093883711090594,0.0637366196884348,0.0674510908606018,-0.050364470641232,9.694268423290636
1520621014.590517,-0.209406008006861,0.0140608000652469,0.059449988844767,0.0181458146294897,-0.1175124942938043,9.750596723404612
1520621014.595535,-0.2101536514151107,0.0207718184302398,0.0559854233299855,0.0037150020740424,-0.1702735490043955,9.774031514093096
1520621014.600548,-0.2144230381557987,0.0263224761880879,0.050083586536653,-0.0275517584627602,-0.1942539223135734,9.790629247704242
1520621014.605564,-0.2139199073055462,0.0286624904903281,0.0468538870217723,-0.0155260813332205,-0.1810643142556778,9.823039365126366
1520621014.610581,-0.2114036140891065,0.0330429841279519,0.0436360153178881,-0.0708441961291024,-0.1990471122484994,9.857297512483076
1520621014.615596,-0.2111512959299606,0.036552080239161,0.0390629453880109,-0.0840724409715958,-0.2146349074932563,9.827225726704311
1520621014.620612,-0.2086404991263859,0.0380238276213306,0.0339290215597222,-0.0828698732586419,-0.2242281245405237,9.863249838942677
1520621014.625627,-0.204627107839538,0.0330740512392218,0.0330721238494144,-0.0107158104814049,-0.2086449186340322,9.86718090996373
1520621014.6306438,-0.1973433582932656,0.0298702197875732,0.033575226727943,-0.0155260813332205,-0.1930557184898066,9.831186066198397
1520621014.635658,-0.1877990130627864,0.0281343951072134,0.0302976019809605,-0.0323620293145758,-0.1402922286201359,9.72554338622744
1520621014.640674,-0.1792563034234617,0.0275571588342483,0.0294656495314128,-0.0203363521850366,-0.0983232504003314,9.732358272514752
1520621014.645689,-0.1676993721408335,0.0258148374875439,0.028889749957272,-0.0347671647404839,-0.1115126711382976,9.695322989388604
1520621014.650704,-0.1579001213019727,0.0264087306189334,0.0261705349612973,-0.0239440553238983,-0.1342971821228237,9.730104179953084
1520621014.655721,-0.1450876171636412,0.0249626566636372,0.0239712494807022,-0.0347671647404839,-0.1450886029938581,9.680247859482746
1520621014.6607358,-0.134288142093478,0.0220610577207465,0.020952944672026,-0.0107158104814049,-0.1307007911121955,9.669540430695251
1520621014.665751,-0.1204777894953978,0.0153711845274128,0.0184412308668717,0.0458048720274308,-0.1199129293198156,9.610872571279014
1520621014.670766,-0.1081782211472719,0.0066417573408466,0.015646209908277,0.0494125751662926,-0.1498917208850312,9.60738025772832
1520621014.675783,-0.0933597721334706,0.0011134454924443,0.0147647969266832,0.1059332576751284,-0.1546926845970188,9.570808334852492
1520621014.680799,-0.0790492838926923,-0.0067388551747062,0.0111610737501431,0.158846237045102,-0.1846753162207828,9.52499893163643
1520621014.685814,-0.0614672534388437,-0.0134345358455927,0.0113478180549313,0.1239717733694376,-0.1774777575413322,9.514872066649325
1520621014.69083,-0.047144678594746,-0.0169364646732486,0.0153527262432695,0.1384025859248849,-0.1798771623077331,9.520544664421804
1520621014.695844,-0.0290535386719291,-0.0186776830380048,0.0153057836558768,0.1528333984803325,-0.1942679713082626,9.453013886470972
1520621014.70086,-0.009200143182219,-0.0195506145117009,0.0176971563246248,0.1552385339062403,-0.1822767543940633,9.442519487377652
1520621014.705876,0.0078881732636665,-0.0210073980509412,0.0200892167787382,0.1480231276285166,-0.1798779115874498,9.422830931815986
1520621014.710891,0.0262284989079249,-0.0247903949444094,0.0208378835586108,0.1335923150730691,-0.1474999962357271,9.434561259875553
1520621014.715908,0.0450784593489651,-0.0242060691727399,0.0229716926510908,0.0782742002771874,-0.1522922495710073,9.47345512031739
1520621014.720924,0.0616623355571956,-0.0250715393956641,0.0221225819715511,0.0818819034160491,-0.1498942497040752,9.455985507156326
1520621014.7259378,0.0792587029521605,-0.0233265383789383,0.0258908923970334,0.0698562262865096,-0.1379019088703007,9.487468751092006
1520621014.730953,0.0943424388283347,-0.0195348174848332,0.0267034267974825,0.0542228460181084,-0.1379006912907611,9.517836659635243
1520621014.7359688,0.1074175012175224,-0.0139933917781008,0.026721395808256,0.0698562262865096,-0.1414993301405392,9.524660865644767
1520621014.740985,0.1192370378051004,-0.0075775763361304,0.0264778217954136,0.0566279814440162,-0.1690785296194248,9.580599425870718
1520621014.746,0.1315619006623721,0.001170969097402,0.0257100072267028,0.0073227052129043,-0.1570832853267477,9.62871554191468
1520621014.751015,0.1378491268648226,0.0061335233295335,0.0233012185320717,0.0241586531942596,-0.1690760008003807,9.672724834777537
1520621014.756031,0.1453944702502494,0.0105057880430417,0.0238616549053784,0.0963127159714967,-0.1738781820919079,9.687135080153809
