Time,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1520530731.382632,0.6133646566469979,-0.3638428810796678,1.2577577141913443,-0.0300339752190428,0.0128128850098922,-0.0238377773582341,0.9991824411391969
1520530731.390966,0.6133464780864722,-0.3636720666423949,1.2577489956870556,-0.0292834895493547,0.0127687909141984,-0.0239564189821257,0.999202444556635
1520530731.399299,0.6136105569338353,-0.3638230709972406,1.2581212804994768,-0.0303603632465895,0.0115095147506643,-0.0238923394195069,0.999187137392592
1520530731.407632,0.6136259000712323,-0.3634724171105847,1.258110570308484,-0.0287635339787722,0.0111783322631301,-0.0245206969307957,0.9992229177830616
1520530731.415966,0.6136077183329771,-0.3635374638764386,1.258277284243018,-0.0300879967642015,0.0107824083311603,-0.0237209800929502,0.9992075696394256
1520530731.424299,0.6135707446361707,-0.3635414338142214,1.2583849263978035,-0.0305175109497591,0.0104293982322548,-0.0234573532651229,0.9992045144792628
1520530731.432632,0.6136846776705914,-0.3636736849412285,1.2586983359768542,-0.0309443386648114,0.0092907453931261,-0.0239009823603582,0.9991921101554232
1520530731.440965,0.6138202312126736,-0.3635242008672829,1.2589003996396098,-0.0304446954387996,0.0079045968758577,-0.0235453222624295,0.9992278297102356
1520530731.449299,0.6138466014256304,-0.3635316758803405,1.2589350970359998,-0.029535966621129,0.0075100941248043,-0.0243134410846972,0.9992397518837076
1520530731.457632,0.6138691472756799,-0.363536327844834,1.2589971741144428,-0.0293407221807724,0.0072280363271701,-0.0242676777084433,0.9992486964371796
1520530731.465965,0.6139864854653572,-0.3637627542300135,1.2591607956158863,-0.0294528998314468,0.0065803350421537,-0.0243379700890421,0.9992481619168466
1520530731.474299,0.613894147319534,-0.3634523354148892,1.2590846374833518,-0.0279785676407534,0.0059678606568674,-0.0249853897653295,0.9992783969896608
1520530731.482632,0.6137957945140623,-0.3635413340912869,1.2590852298623367,-0.0272311499273131,0.0053461123822392,-0.0256690527956267,0.9992852361986582
1520530731.490966,0.6136779685092836,-0.3635887531919033,1.2589447170939174,-0.0267030096320793,0.0053070489413773,-0.0261079610958583,0.9992883261979696
1520530731.499299,0.6135305239847113,-0.3635371199287896,1.2589032588486648,-0.0259131068860827,0.0044689046434795,-0.0261977693242476,0.999310870883146
1520530731.507632,0.6135938014849097,-0.3640327296872816,1.259000922784764,-0.0253095507747659,0.0036132478108341,-0.0283648719581009,0.999270636573815
1520530731.515966,0.6136925360077218,-0.3642221708085096,1.259235885709444,-0.0264540408456269,0.0027197310090338,-0.0273860122916113,0.9992711309334118
1520530731.524299,0.6135823932893198,-0.3640687484122601,1.25907843674895,-0.0246889882172614,0.0021679660222937,-0.0285996925698386,0.9992836491052202
1520530731.532632,0.6136782859030382,-0.3643409513136544,1.2592309844054876,-0.0248317774530826,0.0010370041724693,-0.0285503646632176,0.9992833352600572
1520530731.540966,0.6137349955380752,-0.3643469511987515,1.2592862957852875,-0.024433380490482,0.000261105980604,-0.0282720995749548,0.999301571162128
1520530731.549299,0.6136315633987922,-0.3644358093432205,1.2592332961250206,-0.023670180556741,-0.0002161413341998,-0.0285485192315185,0.9993120923340328
1520530731.557632,0.6135381543766788,-0.3643974870761511,1.2590584315783244,-0.0223677357279545,-0.000736769940937,-0.0298551046214398,0.9993036647068304
1520530731.565965,0.6135435970223307,-0.3646904602360353,1.2590886659282676,-0.0224275995214423,-0.0012741753483007,-0.0294816255222207,0.9993128704332068
1520530731.574299,0.6135315204727507,-0.3648163456914163,1.25902153300828,-0.0221262583167674,-0.0018490913836632,-0.0297562447325095,0.9993105500560742
